go_term	description	secretome_genes	non_secretome_genes	prob of combination	expected	population	Bonferonni corrected p-value
GO:0016798	"hydrolase activity, acting on glycosyl bonds"	1	0	1	0.064151	1	0
GO:0046558	"arabinan endo-1,5-alpha-L-arabinosidase activity"	1	0	1	0.064151	1	0
GO:0016901	"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor"	1	0	1	0.064151	1	0
GO:0005199	structural constituent of cell wall	2	0	1	0.004115	2	0
GO:0006078	(1->6)-beta-D-glucan biosynthetic process	1	0	1	0.064151	1	0
GO:0004867	serine-type endopeptidase inhibitor activity	1	0	1	0.064151	1	0
GO:0005975	carbohydrate metabolic process	121	116	0.510548523	0	237	0
GO:0004557	alpha-galactosidase activity	2	0	1	0.004115	2	0
GO:0005576	extracellular region	22	3	0.88	0	25	0
GO:0071555	cell wall organization	1	0	1	0.064151	1	0
GO:0052861	"glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group"	1	0	1	0.064151	1	0
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity	1	0	1	0.064151	1	0
GO:0016158	3-phytase activity	1	0	1	0.064151	1	0
GO:0006308	DNA catabolic process	2	0	1	0.004115	2	0
GO:0006004	fucose metabolic process	1	0	1	0.064151	1	0
GO:0030570	pectate lyase activity	2	0	1	0.004115	2	0
GO:0016671	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	1	0	1	0.064151	1	0
GO:0000298	endopolyphosphatase activity	1	0	1	0.064151	1	0
GO:0030245	cellulose catabolic process	2	0	1	0.004115	2	0
GO:0003756	protein disulfide isomerase activity	1	0	1	0.064151	1	0
GO:0005773	vacuole	2	0	1	0.004115	2	0
GO:0052862	"glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group"	1	0	1	0.064151	1	0
GO:0009277	fungal-type cell wall	1	0	1	0.064151	1	0
GO:0019028	viral capsid	2	0	1	0.004115	2	0
GO:0004553	"hydrolase activity, hydrolyzing O-glycosyl compounds"	87	54	0.617021277	0	141	0
GO:0008810	cellulase activity	2	0	1	0.004115	2	0
GO:0043086	negative regulation of catalytic activity	4	0	1	0.000017	4	0
GO:0004556	alpha-amylase activity	1	0	1	0.064151	1	0
GO:0004563	beta-N-acetylhexosaminidase activity	3	0	1	0.000264	3	0
GO:0031221	arabinan metabolic process	1	0	1	0.064151	1	0
GO:0004560	alpha-L-fucosidase activity	3	0	1	0.000264	3	0
GO:0045735	nutrient reservoir activity	6	0	1	0	6	0
GO:0006508	proteolysis	54	96	0.36	0	150	0
GO:0008474	palmitoyl-(protein) hydrolase activity	1	0	1	0.064151	1	0
GO:0015926	glucosidase activity	1	0	1	0.064151	1	0
GO:0006491	N-glycan processing	1	0	1	0.064151	1	0
GO:0004521	endoribonuclease activity	1	0	1	0.064151	1	0
GO:0003824	catalytic activity	123	556	0.181148748	0	679	1.00E-10
GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	32	63	0.336842105	0	95	1.33E-08
GO:0008236	serine-type peptidase activity	15	12	0.555555556	0	27	2.43E-07
GO:0004252	serine-type endopeptidase activity	17	20	0.459459459	0	37	1.34E-06
GO:0008061	chitin binding	9	3	0.75	0	12	4.56E-06
GO:0004650	polygalacturonase activity	9	3	0.75	0	12	4.56E-06
GO:0004601	peroxidase activity	11	8	0.578947368	0	19	1.90E-05
GO:0005618	cell wall	8	3	0.727272727	0	11	4.12E-05
GO:0050660	flavin adenine dinucleotide binding	34	106	0.242857143	0	140	6.67E-05
GO:0050525	cutinase activity	6	1	0.857142857	0	7	0.000103982
GO:0030246	carbohydrate binding	15	23	0.394736842	0	38	0.000154254
GO:0030248	cellulose binding	6	2	0.75	0	8	0.000764447
GO:0016052	carbohydrate catabolic process	9	8	0.529411765	0	17	0.000868215
GO:0042545	cell wall modification	5	1	0.833333333	0.000001	6	0.001121693
GO:0030599	pectinesterase activity	5	1	0.833333333	0.000001	6	0.001121693
GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	16	35	0.31372549	0	51	0.003175845
GO:0042802	identical protein binding	4	1	0.8	0.000016	5	0.012088713
GO:0016788	"hydrolase activity, acting on ester bonds"	12	25	0.324324324	0	37	0.027273277
GO:0008233	peptidase activity	10	18	0.357142857	0	28	0.036641739
GO:0005507	copper ion binding	10	18	0.357142857	0	28	0.036641739
GO:0004190	aspartic-type endopeptidase activity	9	15	0.375	0	24	0.047612371
GO:0006979	response to oxidative stress	7	9	0.4375	0	16	0.062544395
GO:0006629	lipid metabolic process	14	37	0.274509804	0	51	0.069515787
GO:0008812	choline dehydrogenase activity	10	20	0.333333333	0	30	0.078270334
GO:0008237	metallopeptidase activity	8	13	0.380952381	0	21	0.092840954
GO:0033897	ribonuclease T2 activity	3	1	0.75	0.000247	4	0.130160147
GO:0006066	alcohol metabolic process	10	22	0.3125	0	32	0.155275598
GO:0016998	cell wall macromolecule catabolic process	5	5	0.5	0.000001	10	0.169300217
GO:0006032	chitin catabolic process	5	6	0.454545455	0.000001	11	0.343073707
GO:0004568	chitinase activity	5	6	0.454545455	0.000001	11	0.343073707
